poster_id,title,authors,decision,topic,topic_tracks,openreview_url,poster_url,code_or_project_url,abstract
60475,OptMaster: A DAG-Based Framework for Formulation and Heuristic Discovery in Optimization,Hang Lin | Yuanpeng Gao | Yuzhi Zhang | Kun Yuan | Gang Yan | Siheng Chen | Linfeng Zhang | Weinan E,Accept (regular),Optimization->Everything Else,Agents / Tool Use / GUI | Theory / Optimization / Learning Foundations | Data / Evaluation / Benchmarks | Causal / Probabilistic / Structured Data,https://openreview.net/forum?id=zvbuhAxwKy,https://icml.cc/virtual/2026/poster/60475,,"Optimization problems are fundamental across science and industry, including planning, scheduling, and resource allocation. While LLMs show promise in automating optimization, they struggle to bridge the gap between real-world requirements and both mathematical formulations and effective heuristic designs. Furthermore, the field lacks a unified framework that spans problem formulation and heuristic discovery for NP-hard settings. To address these challenges, we propose OptMaster, a unified framework that spans optimization from formulation to heuristic discovery, structuring the process as a Directed Acyclic Graph (DAG) where each node represents a candidate solution. The DAG architecture enables cross-branch knowledge transfer when search progress stagnates. Within each node, we further replace textual self-reflection with independently generated verification code, grounding the evaluation in deterministic computation to suppress hallucinations. OptMaster achieves competitive performance across two optimization paradigms. In Formulation Intelligence, OptMaster achieves state-of-the-art accuracy across the three most challenging benchmarks in the field. In Heuristic Discovery, OptMaster surpasses the best known solutions on Circle Packing ($n=26, 32$) and achieves a cut of 9,590 on Gset70 with significantly reduced time and search budgets."
60477,Reliable Confidence Alignment for Generalized Category Discovery,Jiawei Yu | Zijian Gao | Tianjiao Wan | Xuan Liu | Cheng Yang | Kele Xu,Accept (regular),Applications->Computer Vision,AI Safety / Alignment / Reliability | Causal / Probabilistic / Structured Data | Responsible AI / Social Impact / Economics,https://openreview.net/forum?id=ztvohV1CJl,https://icml.cc/virtual/2026/poster/60477,,"Generalized Category Discovery (GCD) requires models to categorize an unlabeled pool containing both known and novel classes under sparse supervision. We identify a systemic confidence bias inherent in existing parametric methods: while entropy regularization prevents class collapse, it indiscriminately suppresses predictive certainty on all unlabeled instances. This bias drives a distributional wedge between labeled and unlabeled samples of the same category, forcing models to sacrifice their stability on known classes to achieve plasticity for new ones. To resolve this, we propose Reliable Confidence Alignment (RCA), a plug-and-play framework grounded in Evidential Deep Learning. RCA first establishes high certainty anchors on labeled data using a Reliable Anchor for Certainty (RAC) module. Then, we introduce Cross-view Confidence Alignment (CCA) to propagate this grounded reliability to the unlabeled discovery set. Thus, RCA captures the fine-grained geometry of the probability simplex, effectively calibrating the model's epistemic uncertainty. Extensive evaluations on coarse- and fine-grained benchmarks demonstrate that RCA effectively rectifies the confidence landscape, significantly mitigating performance decay on known classes without compromising novel-class discovery."
60482,MSP: Probabilistically Consistent Multi-Scale Action Generation,Zhixuan Lin | Gengqi Liu | Chao Zheng | Gao Lin | Jindong Yu | Song Gao | Fei Wang,Accept (spotlight),Applications->Robotics,LLM / Foundation Models | Robotics / Embodied AI | Theory / Optimization / Learning Foundations | Efficient ML / Systems / Hardware,https://openreview.net/forum?id=zqjKnzyRo4,https://icml.cc/virtual/2026/poster/60482,,"In robotic imitation learning, accurately modeling the multimodality and temporal correlations of long-horizon action sequences remains challenging. Long-horizon tasks require preserving global task intent while executing precise low-level control; otherwise, local errors can accumulate and lead to failure. While recent coarse-to-fine autoregressive models have improved action generation, they struggle to maintain consistency across hierarchies, leading to suboptimal performance in long-horizon tasks. To address these shortcomings, we propose Probabilistically Consistent Multi-Scale Action Generation (MSP), a novel coarse-to-fine approach that promotes cross-scale consistency. MSP adopts a streamlined multi-scale design by directly downsampling in a continuous latent space. A scale-wise autoregressive Transformer is used to generate semantic conditions at each scale, which guide a lightweight MeanFlow model to capture multi-scale latent distributions, enabling probabilistically consistent refinement across scales. Through extensive simulation and real-world experiments, including long-horizon, multi-task, and few-shot generalization settings, we show that MSP outperforms existing coarse-to-fine methods, achieving state-of-the-art performance with high efficiency. Our code will be publicly available upon publication."
60490,Robust Bayesian Optimisation with Unbounded Corruptions,Abdelhamid Ezzerg | Ilija Bogunovic | Jeremias Knoblauch,Accept (regular),"General Machine Learning->Online Learning, Active Learning and Bandits",AI Safety / Alignment / Reliability | Theory / Optimization / Learning Foundations | Causal / Probabilistic / Structured Data,https://openreview.net/forum?id=zlnoC4YPQ1,https://icml.cc/virtual/2026/poster/60490,,"Bayesian Optimization  is critically vulnerable to extreme outliers. Existing provably robust methods typically assume a bounded cumulative corruption budget, which makes them defenseless against even a single corruption of sufficient magnitude. To address this, we introduce a new adversary whose budget is only bounded in the frequency of corruptions, not in their magnitude. We then derive RCGP-UCB, an algorithm coupling the upper confidence bound (UCB) approach with a Robust Conjugate Gaussian Process (RCGP). We present stable and adaptive versions of RCGP-UCB, and prove that they achieve sublinear regret in the presence of up to $O(T^{1/4})$ and $O(T^{1/7})$ corruptions with possibly infinite magnitude. This robustness comes at near zero cost: without outliers, RCGP-UCB's regret bounds match those of the standard GP-UCB algorithm."
60492,Solving Positive Linear Programs with Differential Privacy,Alina Ene | Huy L Nguyen | Ta Duy Nguyen | Adrian Vladu,Accept (regular),Social Aspects->Privacy,Theory / Optimization / Learning Foundations | Responsible AI / Social Impact / Economics,https://openreview.net/forum?id=zlSioMUQ2Y,https://icml.cc/virtual/2026/poster/60492,,"We study differentially private approximation algorithms for positive linear programs (LPs with nonnegative coefficients and variables), focusing on the fundamental families of packing, covering, and mixed packing-covering formulations. We focus on the high-sensitivity, constraint-private regime of Hsu-Roth-Roughgarden-Ullman (ICALP 2014), where neighboring instances may differ by an arbitrary single constraint, so one cannot hope to approximately satisfy every constraint under privacy. We give private solvers that return approximate solutions while violating only a controlled number of constraints. Our algorithms improve the prior instance-dependent guarantees, and also yield new data-independent bounds that depend only on the dimension. Our techniques involve a dense multiplicative weights update method developed from a regularized dual viewpoint, which we analyze in a way that exploits structure specific to positive LPs."
60495,Diffusion Flow Matching: Dimension-Improved KL Bounds and Wasserstein Guarantees,Marta Gentiloni Silveri | Giovanni Conforti | Alain Oliviero Durmus,Accept (spotlight),Deep Learning->Generative Models and Autoencoders,Multimodal / Vision-Language / Video | Theory / Optimization / Learning Foundations,https://openreview.net/forum?id=zl3akehFBq,https://icml.cc/virtual/2026/poster/60495,,"Diffusion Flow Matching (DFM) has recently emerged as a versatile framework for generative modeling, yet its theoretical convergence properties remain only partially understood. In this work, we provide refined and novel convergence guarantees for Brownian motion based DFMs, focusing on the  discretization error. Our analysis is conducted under the Kullback–Leibler (KL) divergence and the 2-Wasserstein distance. Under finite-moment and mild integrability assumptions, we derive KL convergence bounds with improved dimensional dependence compared to prior work, achieving, up to our knowledge, state-of-the-art scaling under minimal conditions. We further extend the analysis to the 2-Wasserstein distance: assuming weak log-concavity and one-sided Lipschitz continuity, we obtain convergence guarantees with dimensional dependence consistent with the KL case."
60510,Textual Stochastic Gradient Descent: Discrete Optimization of External Memory for Reasoning Language Agents,Jian Li | Hua Huang,Accept (regular),,LLM / Foundation Models | Agents / Tool Use / GUI | AI Safety / Alignment / Reliability | Theory / Optimization / Learning Foundations | Efficient ML / Systems / Hardware,https://openreview.net/forum?id=zVv11MhFLD,https://icml.cc/virtual/2026/poster/60510,,"While Large Language Models (LLMs) possess strong reasoning capabilities, enabling them to learn continuously from experience without parametric retraining remains an open challenge. Existing Retrieval-Augmented Generation (RAG) approaches typically treat memory as a static or append-only corpus, leading to ""memory saturation''---where accumulating noise and redundant information degrade performance over time. To address this, we propose an Experience Risk Minimization (ERM) framework that formalizes the experience library as a learnable parameter under an explicit capacity budget. We introduce Textual Stochastic Gradient Descent (TSGD), a discrete optimization algorithm that refines this library via failure-driven Add, Edit, and Delete operations. TSGD estimates ``textual gradients'' through self-reflection and employs a dual-verification mechanism to ensure generalization, effectively preventing overfitting to local errors. Empirical results on MATH and AIME benchmarks demonstrate that TSGD achieves state-of-the-art performance, improving accuracy by up to 18.7\% over zero-shot baselines and significantly outperforming static RAG, all while maintaining a compact memory footprint (compressing hundreds of experiences into $\approx$30 high-utility rules)."
60521,Persistent Semantic Entities in Tool-Augmented LLM Systems,Zhaohui Wang,Accept (regular),,LLM / Foundation Models | Agents / Tool Use / GUI | Data / Evaluation / Benchmarks,https://openreview.net/forum?id=zPjmtawzT8,https://icml.cc/virtual/2026/poster/60521,,"Tool-augmented LLM agents can harbor implicit state that persists across sessions, activates through events, and propagates across agent boundaries—all invisible to standard debugging. We formalize this as Persistent Semantic Entities (PSEs): constructs defined by name binding, event triggering, and cross-boundary propagation. Experiments across twenty models from nine families (OpenAI, Anthropic, Google, Meta, Alibaba, DeepSeek, Mistral, Zhipu, Moonshot) spanning 1.5B to 1 trillion parameters reveal three findings. First, PSE susceptibility affects all tested architectures including Claude (88%) and Gemini (84–96%), with rates ranging 20–100%; even the largest model (1T parameters) shows 50% susceptibility. Second, contamination does not decay—it increases over conversation turns, as instruction-tuned models reinforce rather than forget injected state. Third, self-reflection provides inconsistent protection—from no effect to negative effect (contamination increases 14% on Claude-Sonnet-4)—while quarantine-based validation consistently achieves 57–85% reduction across models. We validate findings against documented production incidents. Our work establishes PSEs as a distinct phenomenon requiring architectural solutions beyond prompt engineering."
60548,"Reinforcement Learning with Verifiable Rewards: GRPO's Loss, Dynamics, and Success Amplification",Youssef Mroueh,Accept (regular),Reinforcement Learning->Deep RL,AI Safety / Alignment / Reliability | AI4Science / Bio / Molecules | Robotics / Embodied AI | Reinforcement Learning / Decision Making | Theory / Optimization / Learning Foundations | Data / Evaluation / Benchmarks,https://openreview.net/forum?id=z9Bo4eXSpW,https://icml.cc/virtual/2026/poster/60548,,"Group Relative Policy Optimization (GRPO) was introduced recently and used to train DeepSeek\textendash R1 for promoting reasoning in LLMs under verifiable (binary) rewards. We show that the mean{+}variance calibration of these rewards induces a contrastive loss in which the contrastive samples are synthetic data drawn from the previous policy. While GRPO was originally paired with clipping to keep updates near the old policy, we analyze variants that differ in reward normalization (mean-only vs.\ mean{+}variance) and in how they regularize updates using KL divergence: either penalizing divergence from the previous model (\emph{mirror}), penalizing divergence from a fixed reference model $\pi_{\mathrm{ref}}$, or combining both forms of regularization. For each, the optimal policy $\pi_n$ admits an explicit form in terms of the binary reward and the first and second  order statistics of the reward under $\pi_{n-1}$, as well as the policies $\pi_{n-1}$ and $\pi_{\mathrm{ref}}$. Iterating results in a sequence  $\{\pi_n\}$ whose \emph{probability of success (PoS)} obeys a simple recurrence that converges to a fixed point determined by the reference PoS and the regularization strength. We further show that this fixed point exceeds the reference, demonstrating that GRPO amplifies the policy's probability of success."
60555,Learning to Decode Against Compositional Hallucination in Video Multimodal Large Language Models,Wenbin Xing | Quanxing Zha | Lizheng Zu | Mengran Li | Ming Li | Junchi Yan,Accept (regular),Applications->Everything Else,LLM / Foundation Models | AI Safety / Alignment / Reliability | Multimodal / Vision-Language / Video | Reinforcement Learning / Decision Making | Data / Evaluation / Benchmarks,https://openreview.net/forum?id=z2en0iqxwo,https://icml.cc/virtual/2026/poster/60555,https://github.com/BMRETURN/OmniVCHall,"Current research on video hallucination mitigation primarily focuses on isolated error types, leaving *compositional* hallucinations—arising from incorrect reasoning over multiple interacting spatial and temporal factors largely underexplored. We introduce **OmniVCHall**, a benchmark designed to systematically evaluate both isolated and compositional hallucinations in video multimodal large language models (VLLMs). OmniVCHall spans diverse video domains, introduces a novel camera-based hallucination type, and defines a fine-grained taxonomy, together with adversarial answer options (*e.g.*, “All are correct” and “None of the above”) to prevent shortcut reasoning. The evaluations of 39 representative VLLMs reveal that even advanced models (*e.g.*, Qwen3-VL and GPT-5) exhibit substantial performance degradation. We propose **TriCD**, a contrastive decoding framework with a triple-pathway calibration mechanism. An adaptive perturbation controller dynamically selects distracting operations to construct negative video variants, while a saliency-guided enhancement module adaptively reinforces grounded token-wise visual evidences. These components are optimized via reinforcement learning to encourage precise decision-making under compositional hallucination settings. Experimental results show that TriCD consistently improves performance across two representative backbones, achieving an average accuracy improvement of over 10\%."
