item_id,title,item_url,in_papers_page,is_scheduled,is_oral,is_spotlight,is_position,is_journal_track,date,session_start_time,session_end_time,item_time,session_title,session_id,session_url,room,oral_date,oral_start_time,oral_end_time,oral_item_time,oral_session_title,oral_session_id,oral_session_url,oral_room,oral_url,authors,abstract,metadata_source
60472,Any3D-VLA: Enhancing VLA Robustness via Diverse Point Clouds,https://icml.cc/virtual/2026/poster/60472,yes,yes,no,no,no,no,2026-07-08,5:00,6:45,,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,,,,,,,,,,,,
60473,Addressing Instrument-Outcome Confounding in Mendelian Randomization through Representation Learning,https://icml.cc/virtual/2026/poster/60473,yes,yes,no,no,no,no,2026-07-08,5:00,6:45,,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,,,,,,,,,,,,
60474,AVI-Bench: Toward Human-like Audio-Visual Intelligence of Omni-MLLMs,https://icml.cc/virtual/2026/poster/60474,yes,yes,no,no,no,no,2026-07-08,10:30,12:15,,Poster Session 3,68687,https://icml.cc/virtual/2026/session/68687,HALL A,,,,,,,,,,,,
60475,OptMaster: A DAG-Based Framework for Formulation and Heuristic Discovery in Optimization,https://icml.cc/virtual/2026/poster/60475,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,
60476,From Extrinsic to Intrinsic: Geodesic-Guided Representation Learning for 3D Geometric Data,https://icml.cc/virtual/2026/poster/60476,yes,yes,no,no,no,no,2026-07-08,2:30,4:15,,Poster Session 4,68688,https://icml.cc/virtual/2026/session/68688,HALL A,,,,,,,,,,,,
60477,Reliable Confidence Alignment for Generalized Category Discovery,https://icml.cc/virtual/2026/poster/60477,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,
60478,Grouter: Decoupling Routing from Representation for Accelerated MoE Training,https://icml.cc/virtual/2026/poster/60478,yes,yes,no,no,no,no,2026-07-09,2:30,4:15,,Poster Session 7,68691,https://icml.cc/virtual/2026/session/68691,HALL A,,,,,,,,,,,,
60479,ScoreMix: Synthetic Data Generation by Score Composition in Diffusion Models Improves Face Recognition,https://icml.cc/virtual/2026/poster/60479,yes,yes,no,no,no,no,2026-07-08,10:30,12:15,,Poster Session 3,68687,https://icml.cc/virtual/2026/session/68687,HALL A,,,,,,,,,,,,
60480,Attention's forward pass and Frank-Wolfe,https://icml.cc/virtual/2026/poster/60480,yes,yes,no,no,no,no,2026-07-09,5:00,6:45,,Poster Session 8,68692,https://icml.cc/virtual/2026/session/68692,HALL A,,,,,,,,,,,,
60481,Why Specialist Models Still Matter: A Heterogeneous Multi-Agent Paradigm for Medical Artificial Intelligence,https://icml.cc/virtual/2026/poster/60481,yes,yes,no,no,no,no,2026-07-07,10:30,12:15,,Poster Session 1,68685,https://icml.cc/virtual/2026/session/68685,HALL A,,,,,,,,,,,,
60482,MSP: Probabilistically Consistent Multi-Scale Action Generation,https://icml.cc/virtual/2026/poster/60482,yes,no,no,yes,no,no,,,,,,,,,,,,,,,,,,Zhixuan Lin ⋅ Gengqi Liu ⋅ Chao Zheng ⋅ Gao Lin ⋅ Jindong Yu ⋅ Song Gao ⋅ Fei Wang,"In robotic imitation learning, accurately modeling the multimodality and temporal correlations of long-horizon action sequences remains challenging. Long-horizon tasks require preserving global task intent while executing precise low-level control; otherwise, local errors can accumulate and lead to failure. While recent coarse-to-fine autoregressive models have improved action generation, they struggle to maintain consistency across hierarchies, leading to suboptimal performance in long-horizon tasks. To address these shortcomings, we propose Probabilistically Consistent Multi-Scale Action Generation (MSP), a novel coarse-to-fine approach that promotes cross-scale consistency. MSP adopts a streamlined multi-scale design by directly downsampling in a continuous latent space. A scale-wise autoregressive Transformer is used to generate semantic conditions at each scale, which guide a lightweight MeanFlow model to capture multi-scale latent distributions, enabling probabilistically consistent refinement across scales. Through extensive simulation and real-world experiments, including long-horizon, multi-task, and few-shot generalization settings, we show that MSP outperforms existing coarse-to-fine methods, achieving state-of-the-art performance with high efficiency. Our code will be publicly available upon publication.",https://icml.cc/virtual/2026/events/2026SpotlightPosters
60483,ROAMM: A Benchmark Dataset for Multimodal Human Attention Decoding and EEG-to-Text Modeling During Naturalistic Reading,https://icml.cc/virtual/2026/poster/60483,yes,yes,no,no,no,no,2026-07-07,10:30,12:15,,Poster Session 1,68685,https://icml.cc/virtual/2026/session/68685,HALL A,,,,,,,,,,,,
60484,DynaSchedBench: Calibrated Dynamic Scheduling Benchmarks and Observability Paradox in LLM-based Scheduling Agents,https://icml.cc/virtual/2026/poster/60484,yes,yes,no,no,no,no,2026-07-08,10:30,12:15,,Poster Session 3,68687,https://icml.cc/virtual/2026/session/68687,HALL A,,,,,,,,,,,,
60485,Motion-Residual Conflict-Aware Time Reversal for Generative Inbetweening,https://icml.cc/virtual/2026/poster/60485,yes,yes,no,no,no,no,2026-07-07,2:00,3:45,,Poster Session 2,68686,https://icml.cc/virtual/2026/session/68686,HALL A,,,,,,,,,,,,
60486,ForesightKV: Optimizing KV Cache Eviction for Reasoning Models by Learning Long-Term Contribution,https://icml.cc/virtual/2026/poster/60486,yes,yes,no,no,no,no,2026-07-07,2:00,3:45,,Poster Session 2,68686,https://icml.cc/virtual/2026/session/68686,HALL A,,,,,,,,,,,,
60487,Polishing-Only Policies in Peer Reviews are Currently Not Enforceable,https://icml.cc/virtual/2026/poster/60487,yes,yes,no,no,no,no,2026-07-09,5:00,6:45,,Poster Session 8,68692,https://icml.cc/virtual/2026/session/68692,HALL A,,,,,,,,,,,,
60488,Q-CLIP: Unleashing the Power of Vision-Language Models for Video Quality Assessment through Unified Cross-Modal Adaptation,https://icml.cc/virtual/2026/poster/60488,yes,yes,no,no,no,no,2026-07-09,2:30,4:15,,Poster Session 7,68691,https://icml.cc/virtual/2026/session/68691,HALL A,,,,,,,,,,,,
60489,Verbalized Sampling: How to Mitigate Mode Collapse and Unlock LLM Diversity,https://icml.cc/virtual/2026/poster/60489,yes,yes,no,no,no,no,2026-07-07,10:30,12:15,,Poster Session 1,68685,https://icml.cc/virtual/2026/session/68685,HALL A,,,,,,,,,,,,
60490,Robust Bayesian Optimisation with Unbounded Corruptions,https://icml.cc/virtual/2026/poster/60490,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,
60491,Quantile-Free Uncertainty Quantification in Graph Neural Networks,https://icml.cc/virtual/2026/poster/60491,yes,yes,no,no,no,no,2026-07-09,10:30,12:15,,Poster Session 6,68690,https://icml.cc/virtual/2026/session/68690,HALL A,,,,,,,,,,,,
60492,Solving Positive Linear Programs with Differential Privacy,https://icml.cc/virtual/2026/poster/60492,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,
60493,Optimizing Inference-Time Compute for Medical Reasoning via Uncertainty Quantification,https://icml.cc/virtual/2026/poster/60493,yes,yes,no,no,no,no,2026-07-07,10:30,12:15,,Poster Session 1,68685,https://icml.cc/virtual/2026/session/68685,HALL A,,,,,,,,,,,,
60494,The Forgetting-Retention Dilemma: Certified Unlearning Theory in Continual Learning,https://icml.cc/virtual/2026/poster/60494,yes,yes,no,no,no,no,2026-07-07,10:30,12:15,,Poster Session 1,68685,https://icml.cc/virtual/2026/session/68685,HALL A,,,,,,,,,,,,
60495,Diffusion Flow Matching: Dimension-Improved KL Bounds and Wasserstein Guarantees,https://icml.cc/virtual/2026/poster/60495,yes,no,no,yes,no,no,,,,,,,,,,,,,,,,,,Marta Gentiloni Silveri ⋅ Giovanni Conforti ⋅ Alain Oliviero Durmus,"Diffusion Flow Matching (DFM) has recently emerged as a versatile framework for generative modeling, yet its theoretical convergence properties remain only partially understood. In this work, we provide refined and novel convergence guarantees for Brownian motion based DFMs, focusing on the discretization error. Our analysis is conducted under the Kullback–Leibler (KL) divergence and the 2-Wasserstein distance. Under finite-moment and mild integrability assumptions, we derive KL convergence bounds with improved dimensional dependence compared to prior work, achieving, up to our knowledge, state-of-the-art scaling under minimal conditions. We further extend the analysis to the 2-Wasserstein distance: assuming weak log-concavity and one-sided Lipschitz continuity, we obtain convergence guarantees with dimensional dependence consistent with the KL case.",https://icml.cc/virtual/2026/events/2026SpotlightPosters
