date,day_label,session_start_time,session_end_time,item_time,event_type,session_title,session_id,session_url,room,title,item_id,item_url,source
2026-07-07,TUE 7 JUL,10:00,11:00,10:00,Oral Session,Oral 1A LLM Adaptation and Dataset Selection,68635,https://icml.cc/virtual/2026/session/68635,HALL C,Do We Need Adam? Surprisingly Strong and Sparse Reinforcement Learning with SGD in LLMs,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:15,Oral Session,Oral 1A LLM Adaptation and Dataset Selection,68635,https://icml.cc/virtual/2026/session/68635,HALL C,Learning Unmasking Policies for Diffusion Language Models,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:30,Oral Session,Oral 1A LLM Adaptation and Dataset Selection,68635,https://icml.cc/virtual/2026/session/68635,HALL C,Less is Enough: Synthesizing Diverse Data in Feature Space of LLMs,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:45,Oral Session,Oral 1A LLM Adaptation and Dataset Selection,68635,https://icml.cc/virtual/2026/session/68635,HALL C,OPUS: Towards Efficient and Principled Data Selection in Large Language Model Pre-training in Every Iteration,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:00,Oral Session,Oral 1B Agentic Systems,68636,https://icml.cc/virtual/2026/session/68636,HALL B2,Benchmarking at the Edge of Comprehension,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:15,Oral Session,Oral 1B Agentic Systems,68636,https://icml.cc/virtual/2026/session/68636,HALL B2,daVinci-Dev: Agent-native Mid-training for Software Engineering,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:30,Oral Session,Oral 1B Agentic Systems,68636,https://icml.cc/virtual/2026/session/68636,HALL B2,Strategic Navigation or Stochastic Search? How Agents and Humans Reason Over Document Collections,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:45,Oral Session,Oral 1B Agentic Systems,68636,https://icml.cc/virtual/2026/session/68636,HALL B2,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:00,Oral Session,Oral 1C AI for Science: Proteins and Genomic Sequences,68637,https://icml.cc/virtual/2026/session/68637,HALL D2,dnaHNet: A Scalable and Hierarchical Foundation Model for Genomic Sequence Learning,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:15,Oral Session,Oral 1C AI for Science: Proteins and Genomic Sequences,68637,https://icml.cc/virtual/2026/session/68637,HALL D2,FLIP2: Expanding Protein Fitness Landscape Benchmarks for Real-World Machine Learning Applications,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:30,Oral Session,Oral 1C AI for Science: Proteins and Genomic Sequences,68637,https://icml.cc/virtual/2026/session/68637,HALL D2,Protein Autoregressive Modeling via Multiscale Structure Generation,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:45,Oral Session,Oral 1C AI for Science: Proteins and Genomic Sequences,68637,https://icml.cc/virtual/2026/session/68637,HALL D2,Protein Fold Classification at Scale: Benchmarking and Pretraining,,,https://icml.cc/virtual/2026/calendar
2026-07-07,TUE 7 JUL,10:00,11:00,10:00,Oral Session,Oral 1D DL: Representations & Distributions,68638,https://icml.cc/virtual/2026/session/68638,HALL D1,DiScoFormer: Plug-In Density and Score Estimation with Transformers,,,https://icml.cc/virtual/2026/calendar
