date_label,date_2026,start_time,end_time,timezone_note,title,organizer_guess,event_kind,rsvp_url,platform,detail_name,detail_start,detail_end,location_name,address_region,address_country,latitude,longitude,organizer_verified,ticket_availability,source_url,source_updated,confidence,notes
Tue Jun 23,2026-06-23,6:00,8:00pm,PT,Pre-ICML SF Meetup: Welcome to Seoul!,,Meetup / networking,https://luma.com/buildp-2ihg?tk=yUMN5S,Luma,,,,,,,,,,,https://luma.com/7iiqamt2,"June 30, 2026 8:20pm KST",curated_public_hub,Parsed from Team Attention Luma hub; verify individual RSVP page before attending.
Sat Jun 27,2026-06-27,6:00,9:00pm,PT,World Cup [Codex] Build Day: SF x Seoul,,Workshop / summit,https://luma.com/s0a1otj0,Luma,,,,,,,,,,,https://luma.com/7iiqamt2,"June 30, 2026 8:20pm KST",curated_public_hub,Parsed from Team Attention Luma hub; verify individual RSVP page before attending.
Fri Jul 3,2026-07-03,11:00am,7:00pm,,Cortiq Summit 2026: Agentic AI,,Workshop / summit,https://luma.com/c3e67mf0,Luma,,,,,,,,,,,https://luma.com/7iiqamt2,"June 30, 2026 8:20pm KST",curated_public_hub,Parsed from Team Attention Luma hub; verify individual RSVP page before attending.
Fri Jul 3,2026-07-03,6:00pm,,,Trillion Frontier Night x ICML 2026,Trillion Frontier Night,Evening social,https://docs.google.com/forms/d/e/1FAIpQLSeodJUcjq29RaHJm9rJACN7IYZcSJEiPYPzt09pJmEX_B7ICw/viewform,Google Forms,,,,,,,,,,,https://luma.com/7iiqamt2,"June 30, 2026 8:20pm KST",curated_public_hub,Parsed from Team Attention Luma hub; verify individual RSVP page before attending.
Sat Jul 4,2026-07-04,12:00,8:00pm,,ICML Night — Instruct.KR x Exa AI Search Technology Meetup in Seoul,Exa AI / Instruct.KR,Evening social,https://luma.com/7nt9s63z?tk=2cc105,Luma,,,,,,,,,,,https://luma.com/7iiqamt2,"June 30, 2026 8:20pm KST",curated_public_hub,Parsed from Team Attention Luma hub; verify individual RSVP page before attending.
Sun Jul 5,2026-07-05,8:00am,6:00pm,,ProbML 2026,,Workshop / summit,https://luma.com/td9d3qxl,Luma,,,,,,,,,,,https://luma.com/7iiqamt2,"June 30, 2026 8:20pm KST",curated_public_hub,Parsed from Team Attention Luma hub; verify individual RSVP page before attending.
Sun Jul 5,2026-07-05,4:00,6:00pm,,ICML 2026 Seoul: Opening Reception,,Side event,https://luma.com/bncxfdjm?tk=keJkBH,Luma,,,,,,,,,,,https://luma.com/7iiqamt2,"June 30, 2026 8:20pm KST",curated_public_hub,Parsed from Team Attention Luma hub; verify individual RSVP page before attending.
Sun Jul 5,2026-07-05,4:00,8:00pm,,SMW AI Networking Mixer before ICML,,Meetup / networking,https://luma.com/64qex8js,Luma,,,,,,,,,,,https://luma.com/7iiqamt2,"June 30, 2026 8:20pm KST",curated_public_hub,Parsed from Team Attention Luma hub; verify individual RSVP page before attending.
Mon Jul 6,2026-07-06,9:00am,5:30pm,,TAIC'26: Thinking about AI's Capability,,Side event,https://luma.com/ojd6dd4p?tk=1bMfSr,Luma,,,,,,,,,,,https://luma.com/7iiqamt2,"June 30, 2026 8:20pm KST",curated_public_hub,Parsed from Team Attention Luma hub; verify individual RSVP page before attending.
Mon Jul 6,2026-07-06,7:00,9:00pm,,India@ICML 2026,,Side event,https://luma.com/dwyibvyd?tk=BaMKuD,Luma,,,,,,,,,,,https://luma.com/7iiqamt2,"June 30, 2026 8:20pm KST",curated_public_hub,Parsed from Team Attention Luma hub; verify individual RSVP page before attending.
